TimeSlot,LogCount,StressScore,IsAnomaly
2025-11-01 08,46,78,0
2025-11-01 09,281,509,0
2025-11-01 10,286,517,0
2025-11-01 11,336,604,0
2025-11-01 12,311,523,0
2025-11-01 13,303,541,0
2025-11-01 14,292,528,0
2025-11-01 15,306,547,0
2025-11-01 16,299,534,0
2025-11-01 17,302,521,0
2025-11-01 18,316,557,0
2025-11-01 19,338,589,0
2025-11-01 20,281,509,0
2025-11-01 21,315,543,0
2025-11-01 22,333,584,0
2025-11-01 23,296,507,0
2025-11-02 00,319,546,0
2025-11-02 01,300,525,0
2025-11-02 02,293,504,0
2025-11-02 03,299,511,0
2025-11-02 04,299,517,0
2025-11-02 05,282,499,0
2025-11-02 06,293,522,0
2025-11-02 07,281,490,0
2025-11-02 08,280,514,0
2025-11-02 09,301,522,0
2025-11-02 10,301,546,0
2025-11-02 11,305,541,0
2025-11-02 12,315,557,0
2025-11-02 13,314,555,0
2025-11-02 14,298,518,0
2025-11-02 15,292,492,0
2025-11-02 16,286,506,0
2025-11-02 17,285,502,0
2025-11-02 18,309,532,0
2025-11-02 19,299,523,0
2025-11-02 20,292,497,0
2025-11-02 21,341,612,0
2025-11-02 22,310,542,0
2025-11-02 23,296,525,0
2025-11-03 00,325,552,0
2025-11-03 01,307,543,0
2025-11-03 02,305,535,0
2025-11-03 03,281,505,0
2025-11-03 04,261,441,0
2025-11-03 05,293,538,0
2025-11-03 06,327,584,0
2025-11-03 07,279,488,0
2025-11-03 08,306,550,0
2025-11-03 09,276,456,0
2025-11-03 10,292,534,0
2025-11-03 11,301,491,0
2025-11-03 12,266,473,0
2025-11-03 13,288,523,0
2025-11-03 14,276,501,0
2025-11-03 15,331,600,0
2025-11-03 16,275,484,0
2025-11-03 17,298,498,0
2025-11-03 18,291,499,0
2025-11-03 19,288,497,0
2025-11-03 20,314,541,0
2025-11-03 21,344,586,0
2025-11-03 22,307,524,0
2025-11-03 23,278,475,0
2025-11-04 00,302,513,0
2025-11-04 01,306,543,0
2025-11-04 02,314,551,0
2025-11-04 03,292,502,0
2025-11-04 04,277,477,0
2025-11-04 05,313,548,0
2025-11-04 06,292,516,0
2025-11-04 07,297,522,0
2025-11-04 08,310,514,0
2025-11-04 09,297,530,0
2025-11-04 10,317,565,0
2025-11-04 11,269,451,0
2025-11-04 12,313,574,0
2025-11-04 13,288,495,0
2025-11-04 14,320,573,0
2025-11-04 15,291,506,0
2025-11-04 16,272,478,0
2025-11-04 17,293,509,0
2025-11-04 18,312,547,0
2025-11-04 19,276,475,0
2025-11-04 20,285,507,0
2025-11-04 21,295,522,0
2025-11-04 22,302,537,0
2025-11-04 23,306,533,0
2025-11-05 00,299,499,0
2025-11-05 01,326,560,0
2025-11-05 02,304,574,0
2025-11-05 03,313,551,0
2025-11-05 04,279,483,0
2025-11-05 05,304,510,0
2025-11-05 06,296,499,0
2025-11-05 07,291,532,0
2025-11-05 08,322,566,0
2025-11-05 09,308,541,0
2025-11-05 10,282,492,0
2025-11-05 11,286,473,0
2025-11-05 12,326,563,0
2025-11-05 13,315,543,0
2025-11-05 14,252,462,0
2025-11-05 15,287,484,0
2025-11-05 16,316,547,0
2025-11-05 17,282,485,0
2025-11-05 18,305,527,0
2025-11-05 19,288,530,0
2025-11-05 20,294,517,0
2025-11-05 21,255,443,0
2025-11-05 22,285,495,0
2025-11-05 23,330,608,0
2025-11-06 00,273,494,0
2025-11-06 01,278,458,0
